queue_count,priority,avg_consultation_minutes,time_of_day,actual_waiting_minutes
2,Normal,15,Morning,30
5,Normal,15,Morning,75
8,Normal,15,Morning,120
10,Normal,15,Morning,150
15,Normal,15,Morning,225
20,Normal,15,Morning,300
3,Normal,20,Afternoon,60
7,Normal,20,Afternoon,140
12,Normal,20,Afternoon,240
18,Normal,20,Afternoon,360
5,Urgent,15,Morning,60
8,Urgent,15,Morning,90
12,Urgent,15,Afternoon,135
16,Urgent,15,Afternoon,180
20,Urgent,15,Evening,225
3,Emergency,10,Morning,20
5,Emergency,10,Morning,30
8,Emergency,10,Afternoon,45
12,Emergency,10,Afternoon,70
16,Emergency,10,Evening,90
4,Normal,10,Evening,45
9,Normal,10,Evening,100
14,Normal,10,Evening,155
19,Normal,10,Evening,210
25,Normal,10,Evening,275
6,Urgent,20,Morning,100
10,Urgent,20,Morning,160
15,Urgent,20,Afternoon,230
20,Urgent,20,Evening,300
25,Urgent,20,Evening,370
